City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Waingapu,ID,79.5,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
460,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
462,Punta Alta,AR,81.61,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
468,Luena,AO,77.18,clear sky,-11.7833,19.9167,Hotel Kandamba
470,Kamina,CD,75.74,light rain,-8.7386,24.9906,Guest House Florvia
471,Bahia Blanca,AR,84.11,clear sky,-38.7196,-62.2724,Hotel Argos
472,Luziania,BR,82.98,overcast clouds,-16.2525,-47.9503,HOTEL SARON
473,Mamallapuram,IN,80.06,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
476,Sao Sebastiao,BR,79.79,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
481,Itarema,BR,76.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
482,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
485,Corn Island,NI,80.06,few clouds,12.1694,-83.0418,Big Fish Guest House
492,Rio Cuarto,AR,78.67,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
507,Aguada De Pasajeros,CU,78.94,clear sky,22.385,-80.8508,El Bosque
514,Pangai,TO,83.07,light rain,-19.8,-174.35,Ha'apai Beach Resort
518,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
519,Belmonte,BR,84.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
521,Tevaitoa,PF,80.98,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
528,Poum,NC,81.64,broken clouds,-20.2333,164.0167,Gîte kajeon
531,Namatanai,PG,79.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
532,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
539,Namibe,AO,81.23,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
540,Santa Maria,BR,76.3,broken clouds,-29.6842,-53.8069,Hotel Morotin
541,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
548,Ta Khmau,KH,80.65,few clouds,11.4833,104.95,Takhmao Good Health Hotel
551,Kulhudhuffushi,MV,81.61,clear sky,6.6221,73.07,Haajy Guest House 1
553,Ambilobe,MG,75.16,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
554,Buala,SB,79.39,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
557,Acarau,BR,76.37,light rain,-2.8856,-40.12,castelo pizzaria
558,Carutapera,BR,75.2,overcast clouds,-1.195,-46.02,Lidera
559,Bandarbeyla,SO,75.97,broken clouds,9.4942,50.8122,JABIR HOTEL
560,Iralaya,HN,78.89,broken clouds,15.0,-83.2333,Iglesia morava renovada
561,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
563,Benguela,AO,81.34,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
565,Ballina,AU,75.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
567,Voi,KE,83.48,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
570,Thohoyandou,ZA,76.8,light rain,-22.9456,30.485,Masili Guesthouse & Conference
576,Mogadishu,SO,78.01,broken clouds,2.0371,45.3438,Hotel Juba
580,Gondanglegi,ID,76.15,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
581,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
593,Benjamin Constant,BR,84.33,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
594,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
595,Lorengau,PG,82.13,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
596,La Orilla,MX,79.79,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
597,Crixas,BR,80.51,overcast clouds,-14.5489,-49.9692,RISO HOTEL
608,Vinh Long,VN,75.18,overcast clouds,10.25,105.9667,Phuong Thao Homestay
611,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
626,Harper,LR,84.65,broken clouds,4.375,-7.7169,Screensaver
633,Espana,PH,80.47,overcast clouds,12.3841,122.499,The Boathouse | Sibuyan Island
634,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
638,Matara,LK,76.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
653,Necochea,AR,81.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
655,Amahai,ID,79.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
658,Moroni,KM,82.4,light rain,-11.7022,43.2551,Hotel les Arcades
660,Sambava,MG,78.49,scattered clouds,-14.2667,50.1667,Melrose
661,Kavaratti,IN,81.12,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
666,Batemans Bay,AU,76.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
669,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
670,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
680,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
686,Progreso,MX,77.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
689,Lyantonde,UG,76.55,scattered clouds,-0.4031,31.1572,Pals Panache Splendors
