City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Lebu,CL,2022-01-26 18:11:50,-37.6167,-73.65,66.97,66,6,10.85
61,Celestun,MX,2022-01-26 18:11:51,20.8667,-90.4,76.73,76,43,14.72
62,Vaini,TO,2022-01-26 18:11:51,-21.2,-175.2,71.76,94,20,2.3
63,Bredasdorp,ZA,2022-01-26 18:11:51,-34.5322,20.0403,68.29,73,100,10.36
64,Yining,CN,2022-01-26 18:11:51,29.0361,114.5636,43.99,97,100,2.26
65,Sioux Lookout,CA,2022-01-26 18:11:52,50.1001,-91.917,5.38,72,100,17.27
66,Ancud,CL,2022-01-26 18:11:52,-41.8697,-73.8203,81.23,54,7,5.46
67,Saint-Philippe,RE,2022-01-26 18:11:52,-21.3585,55.7679,74.79,70,56,8.43
68,New Norfolk,AU,2022-01-26 18:11:53,-42.7826,147.0587,61.72,73,89,1.52
69,Avarua,CK,2022-01-26 18:11:53,-21.2078,-159.775,78.85,89,20,10.36
70,San Quintin,MX,2022-01-26 18:11:53,30.4833,-115.95,61.43,57,100,3.18
71,Itoman,JP,2022-01-26 18:11:53,26.1247,127.6694,66.22,68,51,5.75
72,Nouadhibou,MR,2022-01-26 18:11:54,20.931,-17.0347,67.98,60,0,19.57
73,Tumut,AU,2022-01-26 18:11:54,-35.3,148.2167,62.29,84,3,3.44
74,Wana,PK,2022-01-26 18:11:54,32.2989,69.5725,38.86,31,0,4.68
75,Hermanus,ZA,2022-01-26 18:11:55,-34.4187,19.2345,68.81,81,87,13.09
76,Iqaluit,CA,2022-01-26 18:11:55,63.7506,-68.5145,-20.47,69,100,5.75
77,Angoche,MZ,2022-01-26 18:11:55,-16.2325,39.9086,75.87,86,100,12.5
78,Arraial Do Cabo,BR,2022-01-26 18:11:56,-22.9661,-42.0278,84.06,65,0,23.02
79,Witu,KE,2022-01-26 18:11:56,-2.3889,40.4382,78.96,78,10,10.92
80,Faanui,PF,2022-01-26 18:11:56,-16.4833,-151.75,80.89,76,95,17.98
81,Cockburn Town,TC,2022-01-26 18:11:57,21.4612,-71.1419,77.99,69,9,8.12
82,Busselton,AU,2022-01-26 18:11:57,-33.65,115.3333,59.4,84,98,11.65
83,Synya,RU,2022-01-26 18:11:57,65.3718,58.0387,11.93,92,100,9.51
84,Puerto Ayora,EC,2022-01-26 18:11:57,-0.7393,-90.3518,84.16,75,88,9.37
85,Kamphaeng Phet,TH,2022-01-26 18:11:58,16.25,99.5,74.75,45,13,3.91
86,Ribeira Grande,PT,2022-01-26 18:11:58,38.5167,-28.7,63.0,63,40,13.8
87,Ebolowa,CM,2022-01-26 18:11:58,2.9,11.15,78.13,47,84,3.04
88,Gunjur,GM,2022-01-26 18:11:59,13.2019,-16.7339,89.67,27,0,3.44
89,Provideniya,RU,2022-01-26 18:12:59,64.3833,-173.3,-11.4,89,26,2.46
90,Salvador,SV,2022-01-26 18:12:16,13.8333,-88.9167,83.05,34,32,1.14
91,Hamilton,US,2022-01-26 18:08:16,39.1834,-84.5333,22.59,54,0,1.01
92,Bethel,US,2022-01-26 18:12:59,41.3712,-73.414,27.48,42,0,10.36
93,Champerico,GT,2022-01-26 18:12:59,14.3,-91.9167,88.34,62,1,8.99
94,Khatanga,RU,2022-01-26 18:13:00,71.9667,102.5,-6.57,86,77,10.38
95,Shihezi,CN,2022-01-26 18:13:00,44.3,86.0333,2.43,93,49,3.74
96,Hokitika,NZ,2022-01-26 18:13:00,-42.7167,170.9667,54.05,74,73,6.15
97,Mount Isa,AU,2022-01-26 18:13:01,-20.7333,139.5,74.97,100,100,5.75
98,Butaritari,KI,2022-01-26 18:13:01,3.0707,172.7902,80.47,82,52,12.95
99,Ponta Delgada,PT,2022-01-26 18:13:01,37.7333,-25.6667,61.5,67,20,16.11
100,Skelleftea,SE,2022-01-26 18:13:01,64.7507,20.9528,26.96,69,100,3.44
101,Hasaki,JP,2022-01-26 18:13:02,35.7333,140.8333,32.4,71,35,3.96
